Title;ID_greenIT;Priority;Lifecycle;Section;Category;Domain;Responsible;ValidationRules;Implemented ?;Weighted score; sur 373 soit :;3%;Unnamed: 13;uid;id
Validate your code with a linter;35;3;3. Implementation;1. Front;3. Technical;CSS / JS / HTML;Software architect / developper;"The number ""source code lines that are not validated by tools such as ESLint\t"" is lower or equal than '0'";;0;;;;8b2a0007-9534-4d61-8cd5-80b37afe9d1a;28
Avoid updates during DOM traversal;43;5;3. Implementation;1. Front;3. Technical;DOM;Software architect / developper;"The number ""DOM element modifications performed when the same part of the DOM is traversed by JavaScript code\t"" is lower or equal than '0'";;0;;;;0ed0dc6c-b452-47e8-b06d-00f933726e14;29
Hide DOM elements while they are being modified;44;4;3. Implementation;1. Front;3. Technical;DOM;Software architect / developper;The number DOM elements manipulations while the element is still visible is lower or equal than '1';;0;;;;340456cb-fef7-44f4-b2be-05387ce47353;30
Only load data/code when necessary;4045;4;3. Implementation;1. Front;3. Technical;Data;Software architect / developper;The number loaded resources that are not immediately used is lower or equal than '0';;0;;;;8ff283c5-46da-4ba4-886f-e6dce17b5554;31
Limit the number of HTTP requests;180;4;3. Implementation;1. Front;3. Technical;HTTP;Software architect / developper;The number HTTP requests is lower or equal than '40';;0;;;;25901566-40a2-44df-9b96-f964b2273b91;32
Avoid resizing images in the browser;93;5;3. Implementation;1. Front;3. Technical;Images;User;The number resized browser images is lower or equal than '0';;0;;;;99552664-08eb-4d4d-9d52-fc1f09e0e729;33
Optimize images;21;4;3. Implementation;1. Front;3. Technical;Images;User;The number non-optimized images is lower or equal than '0';;0;;;;e5fa32bf-93f6-4a93-b7de-74fcf3cb1ef6;34
Prefer glyphs over images;20;4;3. Implementation;1. Front;3. Technical;Images;UX/UI Designer;The number images that should have been replaced by glyphs (font symbol) is lower or equal than '0';;0;;;;0fbe1d1e-8cd5-4b18-8db7-7c11c531f5c1;35
Use lazy loading;1010;5;3. Implementation;1. Front;3. Technical;User interface;UX/UI Designer;The number images, iframes, and videos declared without a lazy loading attribute and below the initial viewport is is lower or equal than '0';;0;;;;3db1f410-06d8-4c7c-98ff-29f50cd7fc63;36
Minimize repaints (appearance) and reflows (layout);42;5;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number modifications not affecting the layout and causing a repaint (ex: color, background, visibility) is lower or equal than '1';;0;;;;88d51632-d9a9-4c61-a92b-fda0afe59e39;37
Avoid blocking times caused by long running JavaScript processes;4052;4;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number tasks lasting more than 200 ms is lower or equal than '0';;0;;;;0d92f094-e259-40a2-bca1-fa039da8397f;38
Cache frequently accessed objects in Javascript;33;4;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number constant (or non-volatile) data retrieved repeatedly without being cached is lower or equal than '0';;0;;;;7542ff32-e1c2-4f5c-bd16-3b7276f0a107;39
Limit canvas use;4054;5;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number canvas that can be replaced by an HTML element is lower or equal than '0';;0;;;;56a129a4-6179-4530-9b69-8e1942b12264;40
Use event delegations;41;4;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number listeners of the same event on multiple HTML elements, belonging to the same group, without using event delegation is lower or equal than '0';;0;;;;ab1816dc-1085-4356-a630-340621b28686;41
Reduce DOM access via JavaScript;32;3;3. Implementation;1. Front;3. Technical;JS;Software architect / developper;The number accesses to HTML elements without going through a local variable is lower or equal than '0';;0;;;;48c425c5-db38-4fa3-afb3-f3d9c369f889;42
Save bandwidth with Service Workers;4059;4;3. Implementation;1. Front;3. Technical;Service worker;Software architect / developper;The number of pages loaded in their full version is lower or equal than '1';;0;;;;339d0993-4509-40b4-9841-1093158117a7;43
Group database queries together whenever possible;55;3;3. Implementation;2. Back;3. Technical;Data / database;Software architect / developper;The number of non-grouped queries is lower or equal than '0';;0;;;;d07f0a6f-c4b9-4c0c-9810-bcd975c40f50;44
Optimise database queries;59;3;3. Implementation;2. Back;3. Technical;Data / database;Software architect / developper;The number of poor-performing queries identified as non-optimised is lower or equal than '0';;0;;;;4a8febe0-1606-432b-accd-114a78c25ada;45
Use some performance-oriented application forks;4;3;3. Implementation;2. Back;3. Technical;Application server and database;Software architect / developper;The number of performance-oriented forks available but not deployed is lower or equal than '1';;0;;;;074946d3-b2d3-4a63-b4c0-1bb9cc5072cb;46
Use a CDN;75;4;4. Production;1. Optimisations;1. Cache;CDN;System administrator;"The number ""non-CDN-served resources (files) \t"" is lower or equal than 25%";;0;;;;3d4cb87a-026f-40fc-9df4-3db5303a6bc4;47
Use all application server / CMS cache levels;60;4;4. Production;1. Optimisations;1. Cache;CMS;System administrator;The number of non-activated caches is lower or equal than '0';;0;;;;fa69bdd2-9fe5-43f1-ad99-495a8bcd4b8f;48
Caching Ajax responses;91;3;4. Production;1. Optimisations;1. Cache;Application server;Software architect / developper;The number of uncached Ajax responses is lower or equal than 10%;;0;;;;f03946dc-9165-4b0b-a809-5bd158f0c577;49
Put caches entirely in RAM;85;3;4. Production;1. Optimisations;1. Cache;Application server;System administrator;The number caches not set in RAM is lower or equal than '0';;0;;;;ecb133fe-3136-4c6b-b030-a0658f1431ea;50
Use HTTP cache;72;4;4. Production;1. Optimisations;1. Cache;HTTP Server;System administrator;The number uncached HTTP headers identified is lower or equal than '0';;0;;;;a5ab1c02-9c0f-4bf4-b04b-81115dc856e0;51
Add Expires or Cache-Control headers;78;4;4. Production;1. Optimisations;1. Cache;HTTP Server;System administrator;The number missing Expires or Cache-Control headers is lower or equal than '0';;0;;;;e32e1fb2-ecf6-475f-9195-94250ce0e925;52
'Compressing text files;86;3;4. Production;1. Optimisations;2. Files;CSS / JS / HTML / SVG;Software architect / developper;The number 'uncompressed CSS, JavaScript, HTML and SVG files' is lower or equal than '0';;0;;;;74714217-30d4-4b35-b140-352f37de992b;53
Minifying text files: CSS, JS, HTML and SVG;12;4;4. Production;1. Optimisations;2. Files;CSS / JS / HTML / SVG;Software architect / developper;The number 'non-minified CSS, JavaScript, HTML and SVG files' is lower or equal than '0';;0;;;;bac15771-c9eb-4941-856d-50df104b6814;54
Combining CSS and JavaScript files;89;4;4. Production;1. Optimisations;2. Files;CSS / JS;Software architect / developper;The number uncombined CSS and JavaScript files is lower or equal than '2';;0;;;;56e5d33a-d3ef-4770-8a70-c26f51b1d366;55
Define a data expiration and deletion policy;4078;4;4. Production;1. Optimisations;2. Files;Data;System administrator;The number unused stored data is lower or equal than '0';;0;;;;81fd7251-9799-4910-856b-5eaec34b66dd;56
Store resources and data in the cloud;71;3;4. Production;1. Optimisations;2. Files;Data;System administrator;The number application resources/data not stored on a cloud solution is lower or equal than '0';;0;;;;fe4e4fee-1477-43d0-ba22-50ee886ece8b;57
Limit the number of domains serving resources;170;3;4. Production;1. Optimisations;3. Network;DNS;Software architect / developper;The number domains serving the resources is lower or equal than '5';;0;;;;38b6ff86-8070-4c53-bbf4-6948208e9982;58
HTTP/2 over HTTP/1;4082;5;4. Production;1. Optimisations;3. Network;HTTP Server;System administrator;The number requests using HTTP/1 is lower or equal than '0';;0;;;;58201e0f-3383-4912-ae6c-39fbbc655c60;59
Favor HSTS Preload List over 301 redirects;1060;4;4. Production;1. Optimisations;3. Network;HTTP Server;System administrator;The number HSTS non-activations is lower or equal than '0';;0;;;;cf1ebd3f-162f-4154-b1fa-e0e68ed2b442;60
Disable DNS Lookup on HTTP server;84;3;4. Production;1. Optimisations;3. Network;HTTP Server;System administrator;The number active DNS Lookups is lower or equal than '0';;0;;;;e819d55f-aa0c-460d-88a5-02ce88ed1b1b;61
Using an asynchronous server;77;3;4. Production;1. Optimisations;4. Server;Server;System administrator;The number synchronous application servers is lower or equal than '1';;0;;;;72148662-7c8d-40db-83d5-0e0a0bb52811;62
Reduce server logs as much as possible;82;3;4. Production;1. Optimisations;4. Server;Server;Software architect / developper;The number logs files without a maximum a retention time is lower or equal than '0';;0;;;;956b061f-6d93-426e-ae40-f44f5ff7bd71;63
Remove all warnings and notices;51;3;4. Production;1. Optimisations;4. Server;Server;System administrator;The number warnings and notices is lower or equal than '0';;0;;;;101b2d99-a0a9-4786-86b3-4a636328f92f;64
Apache Vhost: disable AllowOverride;81;3;4. Production;1. Optimisations;4. Server;HTTP Server;System administrator;"The number configuration files containing ""AllowOverride"" text with anything other than ""AllowOverride None"" is lower or equal than '0'";;0;;;;7ba6539a-36e6-4f33-8ed8-6a055a774472;65
Set up an efficient sitemap;4089;3;4. Production;1. Optimisations;4. Server;SEO;SEO manager;The number sitemap orphan pages is lower or equal than '0';;0;;;;b91f9db0-e440-4b41-8dc5-bbca936e67d9;66
Optimize and generate media before importing them in a CMS;99;5;5. Utilization;5. Others;3. Technical;CMS;User;The number contents directly optimized by the CMS is lower or equal than '0';;0;;;;440eb75c-c227-4063-b54a-e92f01fef615;68
Optimize vector images;1050;5;5. Utilization;5. Others;3. Technical;Content / images;User;The number non-optimized images is lower or equal than '0';;0;;;;676eea54-71c7-423e-b4fd-159d0753a570;69
Compress documents;97;3;5. Utilization;5. Others;3. Technical;Content / document;User;The number uncompressed documents is lower or equal than '0';;0;;;;6579b101-13a9-4615-ba94-1269925fc64e;70
Optimize PDF files;98;3;5. Utilization;5. Others;3. Technical;Content / document;User;The number non-optimized PDFs is lower or equal than '0';;0;;;;bd63275c-c010-47d9-84fc-779cdf8fffcc;71
